Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
"Connor Martin,Mark Allen Johnson","Steph Curry,Ayesha Curry,Jeff Martin,Erick Peyton,Connor Martin,Mark Allen Johnson",,Peacock,,,Documentary,English,,"Sep 16, 2024",1h 9m,,Sentenced,,,,
Andy Armstrong,"Rob Goodrich,Jason Armstrong,Andy Armstrong,Danielle Burgio","Danielle Burgio,Andy Armstrong",Lionsgate,"Walk Like a Duck Entertainment,LB Entertainment,BCD Travel",R (Language Throughout|Graphic Nudity|Drug Use|Some Sexual Material|Strong Violence and Gore),"Horror,Mystery & Thriller,Action",English,"Nov 3, 2023, Limited","Nov 3, 2023",1h 40m,,Squealer,,,,
Malcolm D. Lee,"Bill Carraro,Sam Kitt,Spike Lee",Malcolm D. Lee,Universal Pictures,40 Acres & A Mule Filmworks,R,"Comedy,Drama",English,"Oct 22, 1999, Wide","Jun 15, 2012",2h 0m,"SDDS,Dolby Digital,DTS,Surround",The Best Man,$34.1M,,,
"Renat Davletyarov,Cindy Robinson",,"Alexey Timoshkin,Sergey Ashkenazi,Renat Davletyarov",,Star Media,,"Drama,History,Biography",Russian,,"Mar 1, 2022",1h 45m,,The Pilot: A Battle for Survival,,,,
Nathaniel Martello-White,"Valentina Brazzini,Tristan Goligher,Rob Watson",Nathaniel Martello-White,,"The Bureau,Universal Films",,"Drama,Mystery & Thriller",British English,,"Feb 22, 2023",1h 40m,,The Strays,,,,
Shane Meadows,Mark Herbert,Shane Meadows,,"Warp Films,Ingenious Film Partners,Big Arty",,Drama,English,,"May 18, 2020",1h 38m,,This Is England,$327.9K,,"Jul 27, 2007",
Iliana Sosa,"Emma D. Miller,Iliana Sosa","Isidore Bethel,Iliana Sosa",,Borderchild Productions,,Documentary,Spanish,,"Sep 30, 2022",1h 11m,,What We Leave Behind,,,,
Jesse V. Johnson,,Jesse V. Johnson,Saban Films,"Bleiberg Entertainment,Picture Perfect",R (Strong Bloody Violence|Some Language),"History,Drama,War",British English,"Oct 27, 2023, Limited","Oct 27, 2023",1h 40m,,Boudica: Queen of War,,,,
,,,,,,Action,Hindi,,,3h 0m,,Gunda,,,,
Chris Henchy,"Joe Gatto,James Murray,Brian Quinn,Sal Vulcano,Chris Henchy,Jim Ziegler",Chris Henchy,truTV,"Funny or Die,truTV",PG-13 (Language|Brief Nudity|Some Drug References|Suggestive Content),Comedy,English,"Feb 28, 2020, Wide","Apr 1, 2020",1h 33m,,Impractical Jokers: The Movie,$10.2M,,,
Miguel Arteta,"Marc D. Evans,Peter Principato,Joel Zadak,Itay Reiss","Sam Pitman,Adam Cole-Kelly",Paramount Pictures,"Artists First,Paramount Pictures",R (Drug Use|Crude Sexual Material|Language),Comedy,English,"Jan 10, 2020, Wide","Apr 7, 2020",1h 23m,,Like a Boss,$22.1M,Scope (2.35:1),,
Dana Brawer,,Dana Brawer,,,,Drama,English,,,8m,,Lullaby,,,,
Mike Roth,Rebecca Palatnik,"Morgan Evans,Jase Ricci",Prime Video,"DC Entertainment,Warner Animation Group",,"Holiday,Action,Adventure,Animation,Comedy,Kids & Family",English,,"Dec 8, 2023",1h 32m,,Merry Little Batman,,,,
Jonas Ungar,Jonas Ungar,Jonas Ungar,,,,"Comedy,Drama",German,,,36m,,Simulant,,,,
Austin Stark,"Amanda Bowers,Molly Conners,Bingo Gubelmann,Benji Kohn,Vincent Morano,Jane Oster Sinisi,Ari Daniel Pinchot,Jonathan Rubenstein,Austin Stark",Austin Stark,Vertical Entertainment,"Crystal City Entertainment ,Phiphen Pictures,Paper Street Films",,Drama,English,"Jul 2, 2021, Limited","Jul 2, 2021",1h 39m,,The God Committee,,,,
Vince Marcello,"Michele Weisler,Andrew Cole-Bulgin,Ed Glauser",Vince Marcello,,Komixx Entertainment,TV-14,"Romance,Comedy",English,,"May 11, 2018",1h 45m,,The Kissing Booth 2,,Scope (2.35:1),,
Justin MacGregor,Claire Queree,Justin MacGregor,,,,"Comedy,Drama",English,,,1h 26m,,The Vigil,,,,"Dec 18, 2001"
David France,"David France,Alice Henty,Askold Kurov,Joy A. Tomchin","David France,Tyler H. Walk",,"Public Square Films,Ninety Thousand Words,BBC Storyville,Maylo Films,Bertha Doc Society Journalism Fund,Palette Fund",,"Documentary,LGBTQ+",Russian,,"Jul 3, 2020",1h 47m,,Welcome to Chechnya,,,,
Amy Berg,"Amy Berg,Hermas Lassalle,Frank Donner",Amy Berg,Lionsgate Films,Disarming Films,,"Documentary,Crime,Drama",English,"Oct 13, 2006, Limited","Dec 1, 2008",1h 43m,,Deliver Us From Evil,$196.6K,,,
Vinil Mathew,"Aanand L. Rai,Himanshu Sharma",Kanika Dhillon,,"Colour Yellow Productions,T-Series Films,Eros International",,Mystery & Thriller,Hindi,,"Jul 2, 2021",2h 15m,,Haseen Dillruba,,,,
"Johnnie To,Ka-Fai Wai",Charles Heung,"Nai-Hoi Yau,Ka-Fai Wai",,,,Comedy,Chinese,"Feb 8, 2001, Original",,1h 32m,,Help,,,,
Michael Brown,"Don Hahn,Michael Brown","Michael Brown,Scott McElroy,Brian Mockenhaupt,Ryan Fenson-Hood,Matthew L. Murray",Red Flag Releasing,"Stone Circle Pictures,Serac Adventure Films,Khumbu Pictures",,Documentary,English,"Nov 2, 2012, Limited","Jan 13, 2015",1h 31m,,High Ground,,,,
Mattson Tomlin,"Bill Block,Rafi Crohn,Adam Kassan,Charles Miller,Matt Reeves,Mattson Tomlin","Mattson Tomlin,Mattson Tomlin",,"6th & Idaho Productions,Miramax",R,"Sci-Fi,Drama,Mystery & Thriller",English,,"Dec 17, 2021",1h 50m,,Mother/Android,,,,
Randall Emmett,"Randall Emmett,George Furla,Petr Jákl,Nick Koskoff,Shaun Sanghani,Timothy C. Sullivan,Chad A. Verdi","Adam Taylor Barker,Chris Sivertson",The Avenue,"Lucky 13 Productions,Buffalo 8 Productions,River Bay Films,Verdi Productions,BondIt Media Capital,SSS Entertainment,The Avenue Entertainment,Emmett/Furla/Oasis Films,Ingenious Media",R (Language Throughout|Drug Use|Strong Violence),"Action,Mystery & Thriller",English,"Dec 2, 2022, Limited","Dec 2, 2022",1h 41m,,Savage Salvation,,,,
Jimmy Gadd,,Ryan Ebert,The Asylum,,TV-14 (V),Action,English,"Jul 26, 2024, Limited","Jul 26, 2024",1h 30m,,Shark Warning!,,,,
Robert Rodriguez,"Elizabeth Avellan,David Ellison,Dana Goldberg,Don Granger,Racer Rodriguez,Robert Rodriguez","Racer Rodriguez,Robert Rodriguez",Netflix,"Spyglass Entertainment,Quick Draw Productions,Spyglass Media Group,Netflix Studios,Pipeline Studios,Double R Productions (II),Skydance Media,Skydance Productions",PG (Sequences of Action),"Kids & Family,Action,Adventure,Comedy",English,"Sep 22, 2023, Limited","Sep 22, 2023",1h 48m,"Dolby Digital,Dolby Atmos",Spy Kids: Armageddon,,,,
Patrick Michael Ryder,,Cheryl Neve,,,,Mystery & Thriller,British English,,,39m,,The Doorman,,,,
Erik Matti,,Katski Flores,Indican Pictures,"Reality Entertainment,Globe Studios",,"Horror,Mystery & Thriller",Filipino,"Aug 9, 2023, Limited","Aug 27, 2023",1h 54m,,The Entity,,,,
Leah Bleich,Tessa Byford,Leah Bleich,Lionsgate,"Prodigium Pictures,Wayfarer Studios",PG-13 (Some Teen Drinking|Suggestive Material|Strong Language),Comedy,English,,"Apr 23, 2024",1h 14m,,The Moon and Back,,,,
James Fox,"Marc Barasch,Tony Cataldo,Dan Farah,James Fox,Tobias McGriff,Lance Mungia,Ines Garcia Romero,Tracy Torme,Hanson Tse",Marc Barasch,,"Farah Films,James Fox Productions",,Documentary,English,,"Oct 6, 2020",1h 41m,,The Phenomenon,,,,
"Luca Bellino,Silvia Luzi","Silvia Luzi,Luca Bellino","Luca Bellino,Silvia Luzi",,RAI Cinema,,Drama,Italian,,,1h 33m,,Crater,,,,
Josh Crook,"Claudine Marrotte,Franses Simonovich,Adam R.W. Schroeder",Adam R.W. Schroeder,,Park Slope Pictures,,Drama,English,,"Oct 1, 2020",1h 30m,,Even After Everything,,,,
Stacey Gregg,"Julia Godzinskaya,James Ashley-Turner Hall,Sophie Vickers",Stacey Gregg,Saban Films,"Rooks Nest Entertainment,BBC Films,Pia Pressure,Northern Ireland Screen",R (Language),"Mystery & Thriller,Drama",English,"Feb 11, 2022, Limited","Feb 15, 2022",1h 23m,,Here Before,,,,
Mel Brooks,Mel Brooks,Mel Brooks,,Brooksfilms,R,Comedy,English,"Jun 12, 1981, Limited","Jan 24, 2020",1h 33m,Stereo,History of the World: Part I,,Digital 2.39:1,,
Lokesh Kanagaraj,"S.R. Prabhu,S.R. Prakashbabu",Lokesh Kanagaraj,,"Dream Warrior Pictures,Vivekananda Pictures",,"Action,Mystery & Thriller",Tamil,,"Mar 10, 2020",2h 25m,,Kaithi,$358.1K,,,
Robert J. Flaherty,,Robert J. Flaherty,,,,Documentary,English,,,45m,,Land,,,,
Henry Barrial,,Ron Jackson,,905 Productions,,"Mystery & Thriller,Comedy",English,,"Jan 23, 2024",1h 29m,,Murder and Cocktails,,,,
Nathan Kurosawa,Nathan Kurosawa,Nathan Kurosawa,,,,"Drama,Fantasy",English,,,1h 30m,,Ride,,,,
Ian Knox,,Ian Knox,,,,Drama,English,,,24m,,The Privilege,,,,
Nick Stagliano,Nick Stagliano,"James C. Wolf,Nick Stagliano",Lionsgate,"Nazz Productions,Pelican Films",R (Violence|Sexuality/Nudity|Language),"Mystery & Thriller,Crime,Action",English,"Apr 30, 2021, Limited","Apr 30, 2021",1h 50m,,The Virtuoso,,Scope (2.35:1),,
Jukka-Pekka Valkeapää,,Jukka-Pekka Valkeapää,,"Helsinki Filmi Oy,Backup Media,Exitfilm,Blue Light,Propeler Film",,Drama,Finnish,,"Nov 30, 2016",1h 44m,,The Visitor,,,,
Clay Tarver,"Timothy M. Bourne,Todd Garner","Tom Mullen,Tim Mullen,Clay Tarver,John Francis Daley,Jonathan M. Goldstein,Tom Mullen,Tim Mullen,Clay Tarver",,"20th Century Studios,Broken Road Productions",R (Language Throughout|Drug Content|Crude Sexual References),"Comedy,Adventure",English,,"Aug 27, 2021",1h 43m,Dolby Digital,Vacation Friends 2,,,,
Edward James Olmos,Lisa Bruce,"Marcus DeLeon,Ernie Contreras,Timothy J. Sexton",,"Esparza/Katz Productions,HBO Films",TV-14,Drama,English,,"Nov 30, 2016",1h 50m,,Walkout,,,,
Joachim Lafosse,"Sylvie Pialat,Jacques-Henri Bronckart,Olivier Bronckart","Mazarine Pingeot,Fanny Burdino,Joachim Lafosse,Fanny Burdino,Joachim Lafosse",Distrib Films US,Le Pacte,,Drama,French (France),"Aug 9, 2017, Limited","Jun 30, 2017",1h 40m,Dolby Digital,After Love,$13.6K,Scope (2.35:1),,
Camille Delamarre,"Ellen S. Wander,Jordan Dykstra,Todd Lundbohm,Emanuele Moretti,Kieran Corrigan",Thomas Dunn,Paramount Global Content Distribution,"Film Bridge International,Paramount,Merlin Films",R (Violent Content and Language),"Action,Mystery & Thriller",English,,"May 16, 2023",1h 51m,,Assassin Club,,Digital 2.39:1,,
Raoul Walsh,,"Raoul Walsh,Prosper Mérimée",Fox Film Corporation,,,Drama,English,"Nov 1, 1915, Original",,,,Carmen,,,,
Oliver Stone,"Bill Graham,Sasha Harari,A. Kitman Ho","Oliver Stone,Randall Jahnson","TriStar Pictures,Artisan Entertainment","Carolco Pictures Inc.,Imagine Entertainment,Bill Graham Films,Ixtlan Corporation,Carolco International N.V.",R,"Biography,History,Drama,Music",English,"Mar 1, 1991, Original","Aug 10, 2016",2h 15m,"Surround,Dolby SR,CDS,Magnetic Stereo 6 Track",Doors,$32.7M,35mm,,
Jeshua Dreyfus,,,,,,Drama,German,,"Jan 11, 2021",1h 30m,,Family Practice,,,,
"Mark Koetsier,Chris Bailey,Rob Minkoff","Guy Collins,Yair Landau,Rob Minkoff,Adam Nagle,Peter Nagle,Susan Purcell","Ed Stone,Nate Hopper",Paramount Pictures,"GFM Animation,Cinesite Animation,Nickelodeon Movies,Blazing Productions,Aniventure,Mass Animation,Flying Tigers Entertainment,HB Wink Animation,Align",PG (Rude and Suggestive Humor|Action|Some Language|Violence),"Kids & Family,Comedy,Adventure,Animation",English,"Jul 15, 2022, Wide","Aug 29, 2022",1h 37m,Dolby Atmos,Paws of Fury: The Legend of Hank,$17.8M,Scope (2.35:1),,
Jennifer Reeder,"Derek Bishe,Gregory Chambet",Jennifer Reeder,Shudder,"Divide/Conquer,WTFilms",,Horror,English,"Sep 1, 2023, Limited","Sep 1, 2023",1h 40m,,Perpetrator,,,,
Ross Kauffman,"Jaye Callahan,Ashlee Vance,Adam McKay,Todd Schulman,Justin Falvey,Darryl Frank,Christopher Collins,Lydia Tenaglia,Craig H. Shepherd",,Max,Zero Point Zero Production,,Documentary,English,,"Jul 17, 2024",1h 35m,,Wild Wild Space,,,,
John Kaye,"Diane Sillan Isaacs,Abra Edelman,Boaz Davidson,John Thompson",John Kaye,,Green Moon Productions,R,"Romance,Comedy",English,,"Nov 30, 2016",1h 39m,,Along for the Ride,,,,
Arch Nicholson,,,,Buena Vista (Walt Disney),TV-MA,Mystery & Thriller,English,,,1h 29m,Surround,Fortress,,,,"Oct 4, 2005"
"John Campopiano,Chris Griffiths","Gary Smart,Adam Evans,John Campopiano,Chris Griffiths,Hank Starrs,Michael Leavy","John Campopiano,Gary Smart",Cinedigm,"Dead Mouse Productions,Fuzz on the Lens Productions",,"Documentary,Horror",English,"Jul 8, 2022, Limited","Jul 26, 2022",2h 6m,,Pennywise: The Story of IT,,,,
"Ufuk Genc,Michael Popescu",,Rafael Alberto Garciolo,,Papermoon Films,,Action,German,,,1h 43m,,Plan B,,,,
"Vijay Galani,Mahesh Manjrekar","Akshay Gada,Dhaval Gada,Pratik Galani,Vijay Galani",Mahesh Manjrekar,,Pen India Limited,,"Action,Mystery & Thriller",Hindi,,"Feb 6, 2021",2h 32m,,The Power,,,,
Anna Zlokovic,"David Worthen Brooks,Arbi Pedrossian,Jenna Cavelle,Katrina Kudlick,Alex Familian,Hadley Robinson,Anna Zlokovic","Anna Zlokovic,Anna Zlokovic",Hulu,"20th Digital Studio,Fever Dream Studios",,"Horror,Mystery & Thriller,Comedy",English,,"Oct 2, 2023",1h 34m,,Appendage,,,,
Sajid Khan,,,,,,,,,,,,Housefull 4,,,,
Peter Sollett,"Greg Shapiro,D.B. Weiss",D.B. Weiss,,"BLB,Kingsgate Films",R (Language Throughout|Drug/Alcohol Use|All Involving Teens|Nudity|Sexual References),"Comedy,Music,Drama",English,,"Apr 8, 2022",1h 38m,Dolby Digital,Metal Lords,,,,
Cosimo Gomez,"Roberto Amoroso,Andrea Grazzani","Cosimo Gomez,Sandrone Dazieri,Andrea Nobile",,Colorado Film,,"Crime,Drama,Mystery & Thriller",Italian,,"Nov 30, 2022",1h 32m,,My Name Is Vendetta,,,,
Ted Passon,"Kyla Harris,Innbo Shim,Emily Spivack",,Hulu,,,"Biography,Documentary,Romance",English,"Sep 20, 2024, Limited","Sep 30, 2024",1h 43m,,Patrice: The Movie,,,,
Benedict Andrews,"Marina Acton,Fred Berger,Kate Garwood,Stephen Hopkins,Brian Kavanaugh-Jones,Bradley Pilz,Alan Ritchson","Joe Shrapnel,Anna Waterhouse",Amazon Studios,"Nelly Films,Automatik,Phreaker Films,Ingenious Media,Bradley Pilz Productions",R (Sexual Content/Nudity|Language|Some Drug Use),"Biography,History,Drama",English,"Dec 13, 2019, Limited","May 16, 2020",1h 43m,"Dolby Atmos,Datasat",Seberg,$413.8K,Scope (2.35:1),"Feb 21, 2020",
Will Klipstine,"Steven Reed C.,Will Klipstine,Amy Mills,Craig Muckler","Will Klipstine,Amy Mills",Screen Media,"Singing River Productions,Veteran Films",PG-13 (Violence|Thematic Content|Suicide),"Horror,Mystery & Thriller",English,"Sep 2, 2022, Limited","Sep 2, 2022",1h 55m,,The Harbinger,,Scope (2.35:1),,
Brent Christy,"Gary Wheeler,Jason White",Shea Sizemore,,"INSP Films,Sydney Productions",,Western,English,,"Mar 3, 2020",1h 24m,,The Warrant,,,,
