Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,title,Sound Mix,Aspect Ratio,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters)
Justin MacGregor,Claire Queree,Justin MacGregor,,,,"Comedy,Drama",English,,,1h 26m,The Vigil,,,,"Dec 18, 2001",
David France,"David France,Alice Henty,Askold Kurov,Joy A. Tomchin","David France,Tyler H. Walk",,"Public Square Films,Ninety Thousand Words,BBC Storyville,Maylo Films,Bertha Doc Society Journalism Fund,Palette Fund",,"Documentary,LGBTQ+",Russian,,"Jul 3, 2020",1h 47m,Welcome to Chechnya,,,,,
Amy Berg,"Amy Berg,Hermas Lassalle,Frank Donner",Amy Berg,Lionsgate Films,Disarming Films,,"Documentary,Crime,Drama",English,"Oct 13, 2006, Limited","Dec 1, 2008",1h 43m,Deliver Us From Evil,,,$196.6K,,
Vinil Mathew,"Aanand L. Rai,Himanshu Sharma",Kanika Dhillon,,"Colour Yellow Productions,T-Series Films,Eros International",,Mystery & Thriller,Hindi,,"Jul 2, 2021",2h 15m,Haseen Dillruba,,,,,
"Johnnie To,Ka-Fai Wai",Charles Heung,"Nai-Hoi Yau,Ka-Fai Wai",,,,Comedy,Chinese,"Feb 8, 2001, Original",,1h 32m,Help,,,,,
Michael Brown,"Don Hahn,Michael Brown","Michael Brown,Scott McElroy,Brian Mockenhaupt,Ryan Fenson-Hood,Matthew L. Murray",Red Flag Releasing,"Stone Circle Pictures,Serac Adventure Films,Khumbu Pictures",,Documentary,English,"Nov 2, 2012, Limited","Jan 13, 2015",1h 31m,High Ground,,,,,
Mattson Tomlin,"Bill Block,Rafi Crohn,Adam Kassan,Charles Miller,Matt Reeves,Mattson Tomlin","Mattson Tomlin,Mattson Tomlin",,"6th & Idaho Productions,Miramax",R,"Sci-Fi,Drama,Mystery & Thriller",English,,"Dec 17, 2021",1h 50m,Mother/Android,,,,,
Randall Emmett,"Randall Emmett,George Furla,Petr Jákl,Nick Koskoff,Shaun Sanghani,Timothy C. Sullivan,Chad A. Verdi","Adam Taylor Barker,Chris Sivertson",The Avenue,"Lucky 13 Productions,Buffalo 8 Productions,River Bay Films,Verdi Productions,BondIt Media Capital,SSS Entertainment,The Avenue Entertainment,Emmett/Furla/Oasis Films,Ingenious Media",R (Language Throughout|Drug Use|Strong Violence),"Action,Mystery & Thriller",English,"Dec 2, 2022, Limited","Dec 2, 2022",1h 41m,Savage Salvation,,,,,
Jimmy Gadd,,Ryan Ebert,The Asylum,,TV-14 (V),Action,English,"Jul 26, 2024, Limited","Jul 26, 2024",1h 30m,Shark Warning!,,,,,
Robert Rodriguez,"Elizabeth Avellan,David Ellison,Dana Goldberg,Don Granger,Racer Rodriguez,Robert Rodriguez","Racer Rodriguez,Robert Rodriguez",Netflix,"Spyglass Entertainment,Quick Draw Productions,Spyglass Media Group,Netflix Studios,Pipeline Studios,Double R Productions (II),Skydance Media,Skydance Productions",PG (Sequences of Action),"Kids & Family,Action,Adventure,Comedy",English,"Sep 22, 2023, Limited","Sep 22, 2023",1h 48m,Spy Kids: Armageddon,"Dolby Digital,Dolby Atmos",,,,
Patrick Michael Ryder,,Cheryl Neve,,,,Mystery & Thriller,British English,,,39m,The Doorman,,,,,
Erik Matti,,Katski Flores,Indican Pictures,"Reality Entertainment,Globe Studios",,"Horror,Mystery & Thriller",Filipino,"Aug 9, 2023, Limited","Aug 27, 2023",1h 54m,The Entity,,,,,
Leah Bleich,Tessa Byford,Leah Bleich,Lionsgate,"Prodigium Pictures,Wayfarer Studios",PG-13 (Some Teen Drinking|Suggestive Material|Strong Language),Comedy,English,,"Apr 23, 2024",1h 14m,The Moon and Back,,,,,
James Fox,"Marc Barasch,Tony Cataldo,Dan Farah,James Fox,Tobias McGriff,Lance Mungia,Ines Garcia Romero,Tracy Torme,Hanson Tse",Marc Barasch,,"Farah Films,James Fox Productions",,Documentary,English,,"Oct 6, 2020",1h 41m,The Phenomenon,,,,,
"Luca Bellino,Silvia Luzi","Silvia Luzi,Luca Bellino","Luca Bellino,Silvia Luzi",,RAI Cinema,,Drama,Italian,,,1h 33m,Crater,,,,,
Josh Crook,"Claudine Marrotte,Franses Simonovich,Adam R.W. Schroeder",Adam R.W. Schroeder,,Park Slope Pictures,,Drama,English,,"Oct 1, 2020",1h 30m,Even After Everything,,,,,
Stacey Gregg,"Julia Godzinskaya,James Ashley-Turner Hall,Sophie Vickers",Stacey Gregg,Saban Films,"Rooks Nest Entertainment,BBC Films,Pia Pressure,Northern Ireland Screen",R (Language),"Mystery & Thriller,Drama",English,"Feb 11, 2022, Limited","Feb 15, 2022",1h 23m,Here Before,,,,,
Mel Brooks,Mel Brooks,Mel Brooks,,Brooksfilms,R,Comedy,English,"Jun 12, 1981, Limited","Jan 24, 2020",1h 33m,History of the World: Part I,Stereo,Digital 2.39:1,,,
Lokesh Kanagaraj,"S.R. Prabhu,S.R. Prakashbabu",Lokesh Kanagaraj,,"Dream Warrior Pictures,Vivekananda Pictures",,"Action,Mystery & Thriller",Tamil,,"Mar 10, 2020",2h 25m,Kaithi,,,$358.1K,,
Robert J. Flaherty,,Robert J. Flaherty,,,,Documentary,English,,,45m,Land,,,,,
Henry Barrial,,Ron Jackson,,905 Productions,,"Mystery & Thriller,Comedy",English,,"Jan 23, 2024",1h 29m,Murder and Cocktails,,,,,
Nathan Kurosawa,Nathan Kurosawa,Nathan Kurosawa,,,,"Drama,Fantasy",English,,,1h 30m,Ride,,,,,
Ian Knox,,Ian Knox,,,,Drama,English,,,24m,The Privilege,,,,,
Nick Stagliano,Nick Stagliano,"James C. Wolf,Nick Stagliano",Lionsgate,"Nazz Productions,Pelican Films",R (Violence|Sexuality/Nudity|Language),"Mystery & Thriller,Crime,Action",English,"Apr 30, 2021, Limited","Apr 30, 2021",1h 50m,The Virtuoso,,Scope (2.35:1),,,
Jukka-Pekka Valkeapää,,Jukka-Pekka Valkeapää,,"Helsinki Filmi Oy,Backup Media,Exitfilm,Blue Light,Propeler Film",,Drama,Finnish,,"Nov 30, 2016",1h 44m,The Visitor,,,,,
Clay Tarver,"Timothy M. Bourne,Todd Garner","Tom Mullen,Tim Mullen,Clay Tarver,John Francis Daley,Jonathan M. Goldstein,Tom Mullen,Tim Mullen,Clay Tarver",,"20th Century Studios,Broken Road Productions",R (Language Throughout|Drug Content|Crude Sexual References),"Comedy,Adventure",English,,"Aug 27, 2021",1h 43m,Vacation Friends 2,Dolby Digital,,,,
Edward James Olmos,Lisa Bruce,"Marcus DeLeon,Ernie Contreras,Timothy J. Sexton",,"Esparza/Katz Productions,HBO Films",TV-14,Drama,English,,"Nov 30, 2016",1h 50m,Walkout,,,,,
Joachim Lafosse,"Sylvie Pialat,Jacques-Henri Bronckart,Olivier Bronckart","Mazarine Pingeot,Fanny Burdino,Joachim Lafosse,Fanny Burdino,Joachim Lafosse",Distrib Films US,Le Pacte,,Drama,French (France),"Aug 9, 2017, Limited","Jun 30, 2017",1h 40m,After Love,Dolby Digital,Scope (2.35:1),$13.6K,,
Camille Delamarre,"Ellen S. Wander,Jordan Dykstra,Todd Lundbohm,Emanuele Moretti,Kieran Corrigan",Thomas Dunn,Paramount Global Content Distribution,"Film Bridge International,Paramount,Merlin Films",R (Violent Content and Language),"Action,Mystery & Thriller",English,,"May 16, 2023",1h 51m,Assassin Club,,Digital 2.39:1,,,
Raoul Walsh,,"Raoul Walsh,Prosper Mérimée",Fox Film Corporation,,,Drama,English,"Nov 1, 1915, Original",,,Carmen,,,,,
Oliver Stone,"Bill Graham,Sasha Harari,A. Kitman Ho","Oliver Stone,Randall Jahnson","TriStar Pictures,Artisan Entertainment","Carolco Pictures Inc.,Imagine Entertainment,Bill Graham Films,Ixtlan Corporation,Carolco International N.V.",R,"Biography,History,Drama,Music",English,"Mar 1, 1991, Original","Aug 10, 2016",2h 15m,Doors,"Surround,Dolby SR,CDS,Magnetic Stereo 6 Track",35mm,$32.7M,,
Jeshua Dreyfus,,,,,,Drama,German,,"Jan 11, 2021",1h 30m,Family Practice,,,,,
"Mark Koetsier,Chris Bailey,Rob Minkoff","Guy Collins,Yair Landau,Rob Minkoff,Adam Nagle,Peter Nagle,Susan Purcell","Ed Stone,Nate Hopper",Paramount Pictures,"GFM Animation,Cinesite Animation,Nickelodeon Movies,Blazing Productions,Aniventure,Mass Animation,Flying Tigers Entertainment,HB Wink Animation,Align",PG (Rude and Suggestive Humor|Action|Some Language|Violence),"Kids & Family,Comedy,Adventure,Animation",English,"Jul 15, 2022, Wide","Aug 29, 2022",1h 37m,Paws of Fury: The Legend of Hank,Dolby Atmos,Scope (2.35:1),$17.8M,,
Jennifer Reeder,"Derek Bishe,Gregory Chambet",Jennifer Reeder,Shudder,"Divide/Conquer,WTFilms",,Horror,English,"Sep 1, 2023, Limited","Sep 1, 2023",1h 40m,Perpetrator,,,,,
Ross Kauffman,"Jaye Callahan,Ashlee Vance,Adam McKay,Todd Schulman,Justin Falvey,Darryl Frank,Christopher Collins,Lydia Tenaglia,Craig H. Shepherd",,Max,Zero Point Zero Production,,Documentary,English,,"Jul 17, 2024",1h 35m,Wild Wild Space,,,,,
John Kaye,"Diane Sillan Isaacs,Abra Edelman,Boaz Davidson,John Thompson",John Kaye,,Green Moon Productions,R,"Romance,Comedy",English,,"Nov 30, 2016",1h 39m,Along for the Ride,,,,,
Arch Nicholson,,,,Buena Vista (Walt Disney),TV-MA,Mystery & Thriller,English,,,1h 29m,Fortress,Surround,,,"Oct 4, 2005",
"John Campopiano,Chris Griffiths","Gary Smart,Adam Evans,John Campopiano,Chris Griffiths,Hank Starrs,Michael Leavy","John Campopiano,Gary Smart",Cinedigm,"Dead Mouse Productions,Fuzz on the Lens Productions",,"Documentary,Horror",English,"Jul 8, 2022, Limited","Jul 26, 2022",2h 6m,Pennywise: The Story of IT,,,,,
"Ufuk Genc,Michael Popescu",,Rafael Alberto Garciolo,,Papermoon Films,,Action,German,,,1h 43m,Plan B,,,,,
"Vijay Galani,Mahesh Manjrekar","Akshay Gada,Dhaval Gada,Pratik Galani,Vijay Galani",Mahesh Manjrekar,,Pen India Limited,,"Action,Mystery & Thriller",Hindi,,"Feb 6, 2021",2h 32m,The Power,,,,,
Anna Zlokovic,"David Worthen Brooks,Arbi Pedrossian,Jenna Cavelle,Katrina Kudlick,Alex Familian,Hadley Robinson,Anna Zlokovic","Anna Zlokovic,Anna Zlokovic",Hulu,"20th Digital Studio,Fever Dream Studios",,"Horror,Mystery & Thriller,Comedy",English,,"Oct 2, 2023",1h 34m,Appendage,,,,,
Sajid Khan,,,,,,,,,,,Housefull 4,,,,,
Peter Sollett,"Greg Shapiro,D.B. Weiss",D.B. Weiss,,"BLB,Kingsgate Films",R (Language Throughout|Drug/Alcohol Use|All Involving Teens|Nudity|Sexual References),"Comedy,Music,Drama",English,,"Apr 8, 2022",1h 38m,Metal Lords,Dolby Digital,,,,
Cosimo Gomez,"Roberto Amoroso,Andrea Grazzani","Cosimo Gomez,Sandrone Dazieri,Andrea Nobile",,Colorado Film,,"Crime,Drama,Mystery & Thriller",Italian,,"Nov 30, 2022",1h 32m,My Name Is Vendetta,,,,,
Ted Passon,"Kyla Harris,Innbo Shim,Emily Spivack",,Hulu,,,"Biography,Documentary,Romance",English,"Sep 20, 2024, Limited","Sep 30, 2024",1h 43m,Patrice: The Movie,,,,,
Benedict Andrews,"Marina Acton,Fred Berger,Kate Garwood,Stephen Hopkins,Brian Kavanaugh-Jones,Bradley Pilz,Alan Ritchson","Joe Shrapnel,Anna Waterhouse",Amazon Studios,"Nelly Films,Automatik,Phreaker Films,Ingenious Media,Bradley Pilz Productions",R (Sexual Content/Nudity|Language|Some Drug Use),"Biography,History,Drama",English,"Dec 13, 2019, Limited","May 16, 2020",1h 43m,Seberg,"Dolby Atmos,Datasat",Scope (2.35:1),$413.8K,,"Feb 21, 2020"
Will Klipstine,"Steven Reed C.,Will Klipstine,Amy Mills,Craig Muckler","Will Klipstine,Amy Mills",Screen Media,"Singing River Productions,Veteran Films",PG-13 (Violence|Thematic Content|Suicide),"Horror,Mystery & Thriller",English,"Sep 2, 2022, Limited","Sep 2, 2022",1h 55m,The Harbinger,,Scope (2.35:1),,,
Brent Christy,"Gary Wheeler,Jason White",Shea Sizemore,,"INSP Films,Sydney Productions",,Western,English,,"Mar 3, 2020",1h 24m,The Warrant,,,,,
Kike Maíllo,"Toni Carrizosa,Ana Eiras,Laurent Fumeron,Kike Maíllo,Benito Mueller,Wolfgang Mueller,Justin Nappi,Rodolphe Sanzé,Eric Tosstorff","Cristina Clemente,Kike Maíllo,Fernando Navarro",Brainstorm Media,"OneWorld Entertainment,Treehouse Pictures,Hessen-Invest Film,Radio Televisión Española,Televisió de Catalunya (TV3),ESCAC Films,Sábado Películas,Barry Films,Institut Català de les Empreses Culturals,The Project,Instituto de la Cinematografía y de las Artes Audiovisuales",,"Mystery & Thriller,Action",English,"Jun 11, 2021, Limited","Jun 11, 2021",1h 29m,A Perfect Enemy,,Scope (2.35:1),,,
Yugo Sakamoto,"Riku Sumida,Tsuyoshi Goto",Yugo Sakamoto,,Shaiker,,"Action,Comedy,Drama,Mystery & Thriller",Japanese,,"Jul 22, 2022",1h 35m,Baby Assassins 2,,,,,
Raymond St-Jean,"Paul Cadieux,Michel Ouellette","Martin Girard,Raymond St-Jean",Saban Films,Les Productions Megafun,R (Some Sexuality|Drug Use|Nudity|Language Throughout|Strong Violence),"Crime,Drama",Canadian French,"Apr 19, 2024, Limited","Apr 19, 2024",1h 47m,Dusk for a Hitman,,Scope (2.35:1),,,
Daniel Waters,Denise Di Novi,Daniel Waters,"PlayArte Home Vídeo,New Line Cinema",DiNovi Pictures,R,"Comedy,LGBTQ+",English,"Jan 21, 2001, Original","Apr 17, 2012",1h 34m,Happy Campers,Surround,,,,
Daryl Duke,Harold Greenberg,"W.D. Richter,John Herzfeld",,Astral Bellevue Pathé,R,"Comedy,Drama",English,,,1h 46m,Hard Feelings,,,,,
Allan Dwan,,,,Elton Corporation,,Adventure,English,"Feb 21, 1929, Original","Aug 11, 2016",1h 27m,Iron Mask,,,,,
Raimund Huber,"Shaked Berenson,Patrick Ewald,George Tan,Klaus von Sayn-Wittgenstein",Ken Miller,,Epic Pictures,,Action,English,,"Jun 10, 2013",1h 31m,Kill 'Em All 2,,,,,
Rowan Woods,"Vincent Sheehan,Liz Watts,Richard Keddie",Jacqueline Perske,,"Myriad Pictures,New South Wales Film & Television Office",R (Drug Content|Brief Sexuality|Language),Drama,English,,"May 22, 2017",1h 53m,Little Fish,Dolby Digital,,,,"Feb 24, 2006"
Amy Poehler,"Kim Lessing,Amy Poehler,Morgan Sackett","Tamara Chestna,Dylan Meyer",,Paper Kite Productions,PG-13 (Strong Language|Some Teen Drinking|Sexual Material|Thematic Elements),"Comedy,Drama",English,,"Mar 3, 2021",1h 51m,Moxie,,,,,
Christine Weatherup,"Beatriz Chahin,Matt Enlow",Christine Weatherup,,ReKon Productions,,"Holiday,Romance,Comedy",English,,"Nov 9, 2021",1h 39m,See You Next Christmas,,,,,
Marçal Forés,"Adrián Guerra,Núria Valls","Marçal Forés,Ariana Godoy",Netflix,Nostromo Pictures,,"Comedy,Drama,Romance",European Spanish,,"Feb 23, 2024",1h 45m,Through My Window 3: Looking at You,,,,,
Chris Palmer,"James Krieg,Kimberly S. Moreau",Tim Sheridan,,,R (Some Violence|Bloody Images),"Holiday,Mystery & Thriller,Animation",English,,"Jul 27, 2021",1h 28m,"Batman: The Long Halloween, Part Two",,,,,
Eva Orner,"Jonathan Chinn,Simon Chinn,Eva Orner",,Max,"HBO Documentary Films,Lightbox",,Documentary,English,,"Apr 9, 2024",1h 31m,Brandy Hellville & The Cult of Fast Fashion,,,,,
Richard Tanne,"Alex Saks,Richard Tanne",Richard Tanne,,"Amazon Studios,Page Fifty-Four Pictures,Big Indie Pictures",R,"Romance,Drama",English,,"Aug 20, 2020",1h 33m,Chemical Hearts,,Scope (2.35:1),,,
Clare Niederpruem,"Peter Billingsley,Dan Lagana,Vince Vaughn","Barbara Kymlicka,Vince Vaughn,Dan Lagana",RLJE Films,Wild West Picture Show,,"Holiday,Romance,Comedy",English,"Dec 2, 2022, Limited","Dec 2, 2022",1h 28m,Christmas with The Campbells,,,,,
Rachel Mason,"Adam Baran,Cynthia Childs,Camilla Hall,Kathryn Robson","Kathryn Robson,Rachel Mason",,,,"Documentary,Biography,LGBTQ+",English,,"Apr 22, 2020",1h 32m,Circus of Books,,,,,
Takashi Yamazaki,"Minami Ichikawa,Kazuaki Kishida,Keiichiro Moriya,Kenji Yamada,Kôzô Shibasaki",Takashi Yamazaki,Toho International,"Robot Communications,Toho Company",PG-13 (Creature Violence and Action),"Action,Adventure,Sci-Fi",Japanese,"Jan 26, 2024, Wide","Jun 1, 2024",2h 5m,Godzilla Minus One/Minus Color,,,,,
Shoojit Sircar,"Sheel Kumar,Ronnie Lahiri","Shubhendu Bhattacharya,Ritesh Shah",Rising Star Entertainment,"Rising Sun Films,Kino Works",,"History,Drama,Biography",Hindi,"Oct 1, 2021, Limited","Oct 15, 2021",2h 44m,Sardar Udham,,,,,
Olivier Megaton,"Jesse Berger,Jason Michael Berman,Adam Friedlander,Barry Levine,Samantha Putter",Karl Gajdusek,,"Radical Studios,Radical Pictures,Mandalay Pictures",,"Action,Mystery & Thriller",English,,"Jun 5, 2020",2h 29m,The Last Days of American Crime,,Scope (2.35:1),,,
Jose Montesinos,David Michael Latt,Naomi L. Selfman,,,,Comedy,English,,"Jul 26, 2020",1h 30m,Barely Legal,,,,,
Kristian Mercado,"Andrew Miano,Dan Balgoyen,Britta Rowings,Dennis Masel,Gabrielle Nadig,Jessamine Burgum,Kara Durrett,Jon Levin,Sean Woodson",Angela Bourassa,Peacock,"Depth of Field,Storm City Films,Pinky Promise",,"Romance,Sci-Fi,Comedy",English,,"Oct 20, 2023",1h 32m,If You Were the Last,,,,,
Daston Kalili,,,Cinema Libre Studio,,,Documentary,Chinese,"Oct 23, 2018, Limited","Oct 27, 2018",1h 11m,Master,,,,,
"Oleh Malamuzh,Oleksandra Ruban",,,SHOUT! STUDIOS,"Notorious Pictures,Just Bridge Entertainment",,"Kids & Family,Fantasy,Adventure,Comedy,Animation",,,"Aug 15, 2023",1h 39m,Mavka: The Forest Song,,,,,
Noemie Saglio,,"Philippe Planells,Noemie Saglio,Antoine Dallancour",Netflix,"Les Films du Kiosque,Petite Panthère Productions",,"Comedy,Mystery & Thriller,Action,Adventure",French (France),,"Aug 21, 2024",1h 31m,Nice Girls,,,,,
Juan Taratuto,"Felicitas Arce,Alejandra Cárdenas,Alejandro De Grazia,Cristian Sessa",,Netflix,"Sin sentido films,Tiger House Production Company",,"Action,Comedy",Spanish,,"Jul 26, 2024",1h 26m,Non Negotiable,,,,,
Castille Landon,"Jeremy Bolt,Robert Kulzer,Aron Levitz",Stephanie Sanditz,Decal,"Constantin Film,Wattpad,JB Pictures",R (Sexual Content and Language),"Drama,Romance,Sports",English,"Mar 27, 2023, Limited","Apr 14, 2023",1h 47m,Perfect Addiction,,,,,
Chip Bryant,"Libby Ryan,Art Treyhound",BC Fourteen,,,,"Kids & Family,Holiday,Comedy,Animation",English,,"Feb 7, 2021",1h 17m,The Thanksgiving Movie,,,,,
Nick DeBoer,Luke Valimont,Chase Jessop,Lionsgate,Eagle Ridge Studios,PG-13 (Sequences of Violence),Western,English,,"Mar 19, 2024",1h 45m,Trail of Justice,,Scope (2.35:1),,,
Baayan Bakari,,,,,,"Drama,Romance",,,,1h 17m,Art of Love,,,,,
William Brent Bell,"Tom Rosenberg,Gary Lucchesi,Richard S. Wright,Eric Reid,Jim Wedaa,Roy Lee,Matt Berenson",Stacey Menear,STX Films,"Lakeshore Entertainment,Vertigo Entertainment,STX Entertainment",PG-13 (Terror|Disturbing Images|Thematic Elements|Violence),"Horror,Mystery & Thriller",English,"Feb 21, 2020, Wide","Apr 3, 2020",1h 26m,Brahms: The Boy II,,,$12.6M,,
Christin Baker,"Christin Baker,Danielle Thoeni","Julie Anton,Christin Baker",,"Baker Production,Tello Films",,"Holiday,Romance,Comedy,LGBTQ+",English,,"Dec 1, 2021",1h 34m,Christmas at the Ranch,,,,,
"Nicole Pursell,Caitlin Zoz","Caitlin Zoz,Chinaza Uche,Nicole Pursell","Paton Ashbrook,Audrey Elaine Hailes,Bill Keller,Nicole Pursell,Sathya Sridharan,Chinaza Uche,Caitlin Zoz",Scatena & Rosner,CaChing Productions,,"Drama,Mystery & Thriller,Horror",English,,"Oct 1, 2024",1h 12m,Come Home,,,,,
Vaughn Stein,"Frank Buchs,Morgan Emmery,Veronica Ferres,Jon Levin,Jean-Charles Levy,Richard B. Lewis","David Murray,Gabrielle Jerou",Vertical Entertainment,"Story Mining & Supply Co.,Construction Film,Southpaw Entertainment,13 Films,Trinity Media Financing",R (Language|Brief Sexuality|Some Violence),Mystery & Thriller,English,"Apr 2, 2021, Limited","Apr 2, 2021",1h 46m,Every Breath You Take,,,,,
Dimitri Logothetis,"Dimitri Logothetis,Martin J. Barab,Chris Economides","Dimitri Logothetis,Jim McGrath",The Avenue,"Acme Rocket Fuel,Green Olive Films",R (Violence Throughout),"Action,Sci-Fi,Fantasy",English,"Nov 20, 2020, Limited","Nov 20, 2020",1h 42m,Jiu Jitsu,,Scope (2.35:1),,,
Max Winkler,"Jules Daly,Brad Feinstein,Ryan Stowell,Kevin J. Walsh","Theodore Bressman,David Branson Smith,Max Winkler",Vertical Entertainment,"Romulus Films,Scott Free Productions",R (Pervasive Language|Nudity|Some Sexual Content|Violence),Drama,British English,"Nov 6, 2020, Limited","Nov 10, 2020",1h 30m,Jungleland,,,,,
,,,,,,Comedy,English,,,1h 18m,The Hot Spot,,,,,
Matthew Chapman,"Mark Damon,Moshe Diamant,Michael Mailer",Matthew Chapman,IFC Films,Foresight Unlimited,R (Some Violent Content|Sexuality|Language),"Drama,Mystery & Thriller",English,"Jul 8, 2011, Limited","Nov 30, 2016",1h 41m,The Ledge,,,$5.2K,,
Vsevolod Brodskiy,,Aleksandr Nezlobin,,Central Partnership,,"Comedy,Adventure",Russian,,,1h 30m,The Prom,,,,,
David Winning,Navid Soofi,Marcy Holland,,Johnson Production Group,TV-G,"Holiday,Romance,Comedy,Drama",English,,"Nov 26, 2022",1h 24m,Time for Him to Come Home for Christmas,Stereo,HDTV,,,
"Carmen Cabana,Victor M. Dueñas","Victor M. Dueñas,Vanessa Perez,Edward Enriquez-Cohen,J.M. Longoria","J.M. Longoria,Victor M. Dueñas",,,,Drama,English,,,19m,Bibi,,,,,
Daniel Ferguson,"Taran Davies,George Duffield,Dominic Cunningham-Reid,Daniel Ferguson",Daniel Ferguson,,Cosmic Pictures,G,Documentary,British English,"Mar 15, 2019, Limited","Jul 11, 2020",47m,Superpower Dogs,,,,,
Aoife Crehan,"Pippa Cross,Paul Donovan,Casey Herbert",Aoife Crehan,,"CrossDay Productions Ltd.,Deadpan Pictures",,"Comedy,Drama",British English,,"Apr 6, 2021",1h 46m,The Last Right,,,,,
Dee Rees,,,,Elevated Films,,"Crime,Drama,Mystery & Thriller",English,"Feb 21, 2020, Limited","Feb 21, 2020",1h 55m,The Last Thing He Wanted,,,,,
Agnieszka Holland,"Fred Fuchs,Fred Roos,Tom Luddy","Frances Hodgson Burnett,Caroline Thompson",Warner Bros. Pictures,Warner Brothers,G,"Kids & Family,Drama,Fantasy",English,"Aug 1, 1993, Wide","Jan 1, 2011",1h 41m,The Secret Garden,"Surround,Stereo,Dolby Stereo",,$30.0M,,
Kellie Madison,"Tove Christensen,Georgiy Malkov,Vladimir Polyakov,Steven Schneider","Kellie Madison,Nicky Hawthorne",,Glacier Films,,Mystery & Thriller,English,,"Jun 10, 2019",1h 25m,The Tank,,,,,
Grégory Beghin,,Nicolas Tackian,,"Entre Chien et Loup,Belga Productions,Proximus",,Horror,French (France),,,1h 20m,Deep Fear,,Scope (2.35:1),,,
"Jon Erwin,Andrew Erwin",Kevin Downes,"Jon Erwin,Jon Gunn",Lionsgate Films,Kevin Downes,PG (Thematic Material),"Biography,Drama,Romance,Music",English,"Mar 13, 2020, Wide","Mar 26, 2020",1h 55m,I Still Believe,,Scope (2.35:1),$9.1M,,
Tanya Wexler,,Scott Wascha,,"Campbell Grobman Films,Millennial Films",R (Language Throughout|Strong Violence|Sexual Content),"Action,Drama",English,,"Jul 23, 2021",1h 31m,Jolt,,Scope (2.35:1),,,
Tomotaka Shibayama,,"Yuuko Kakihara,Tomotaka Shibayama",Netflix,"Studio Colorido Co.,Giggly Box,Twin Engine",,"Fantasy,Drama,Anime",Japanese,,"May 24, 2024",1h 52m,My Oni Girl,,,,,
Liam O'Donnell,"Matthew E. Chausse,Benni Diez,Liam O'Donnell,Colin Strause,Greg Strause",Liam O'Donnell,Vertical Entertainment,"Media Finance Capital,Mirabelle Pictures Productions,Fasten Films,Artbox",R (Violence and Language),"Sci-Fi,Action,Mystery & Thriller",English,"Dec 18, 2020, Limited","Dec 18, 2020",1h 50m,Skylines,,,,,
